,Storm ID,Name,Date,Year,Status,Max Latitude,Max Longitude,Max Windspeed,Max Pressure,Start Date,End Date,Duration,Landfall,Lf Latitude,Lf Longitude,Lf Windspeed,Nearest City,Storm Category,Category Value
603,AL021986,BONNIE,1986-06-26 06:00:00,1986,HU,29.0N,93.7W,86.3085,995,1986-06-08 18:00:00,1986-06-26 18:00:00,18 days 00:00:00.000000000,L,29.6,-94.2,86.3085,"port arthur, us",Category One,1
722,AL021987,ARLENE,1987-08-22 06:00:00,1987,HU,36.5N,43.0W,74.80069999999999,988,1987-08-11 18:00:00,1987-08-23 18:00:00,12 days 00:00:00.000000000,,,,,,Category One,1
860,AL021988,BERYL,1988-08-09 00:00:00,1988,TS,29.3N,89.1W,51.78509999999999,1002,1988-08-08 12:00:00,1988-08-09 18:00:00,1 days 06:00:00.000000000,,,,,,Tropical Storm,0
1241,AL021989,ALLISON,1989-06-26 18:00:00,1989,TS,29.1N,95.7W,51.78509999999999,1001,1989-06-26 00:00:00,1989-06-27 06:00:00,1 days 06:00:00.000000000,L,28.7,-95.7,46.0312,"bay city, us",Tropical Storm,0
1705,AL021990,ARTHUR,1990-07-25 18:00:00,1990,TS,13.1N,63.7W,69.04679999999999,995,1990-07-24 12:00:00,1990-07-27 00:00:00,2 days 12:00:00.000000000,,,,,,Tropical Storm,0
2456,AL021993,ARLENE,1993-06-19 12:00:00,1993,TS,25.9N,95.9W,40.2773,1000,1993-06-19 12:00:00,1993-06-20 09:00:00,0 days 21:00:00.000000000,L,27.1,-97.4,40.2773,"kingsville, us",Tropical Storm,0
2964,AL021995,BARRY,1995-07-07 18:00:00,1995,TS,33.2N,70.2W,69.04679999999999,1001,1995-07-07 06:00:00,1995-07-10 06:00:00,3 days 00:00:00.000000000,L,45.3,-61.0,57.538999999999994,"port hawkesbury, ca",Tropical Storm,0
3563,AL021996,BERTHA,1996-07-09 06:00:00,1996,HU,20.3N,67.7W,115.07799999999999,960,1996-07-05 12:00:00,1996-07-14 06:00:00,8 days 18:00:00.000000000,L,34.3,-77.8,103.57019999999999,"wilmington, us",Category Three,3
3920,AL021997,ANA,1997-07-01 12:00:00,1997,TS,31.7N,74.6W,46.0312,1004,1997-07-01 06:00:00,1997-07-03 12:00:00,2 days 06:00:00.000000000,,,,,,Tropical Storm,0
4111,AL021998,BONNIE,1998-08-23 12:00:00,1998,HU,24.1N,71.5W,115.07799999999999,958,1998-08-20 12:00:00,1998-08-30 12:00:00,10 days 00:00:00.000000000,L,34.4,-77.7,109.32409999999999,"wilmington, us",Category Three,3
6269,AL022002,BERTHA,2002-08-05 00:00:00,2002,TS,29.3N,89.2W,40.2773,1008,2002-08-05 00:00:00,2002-08-05 06:00:00,0 days 06:00:00.000000000,L,29.4,-89.3,40.2773,"chalmette, us",Tropical Storm,0
7175,AL022004,BONNIE,2004-08-11 18:00:00,2004,TS,26.4N,89.6W,63.292899999999996,1001,2004-08-09 12:00:00,2004-08-12 14:00:00,3 days 02:00:00.000000000,L,29.6,-85.1,46.0312,"callaway, us",Tropical Storm,0
8114,AL022005,BRET,2005-06-28 22:03:05,2005,TS,19.9N,95.7W,40.2773,1002,2005-06-28 22:03:05,2005-06-29 12:00:00,0 days 13:56:55.000000000,L,20.8,-97.3,40.2773,"cazones, mx",Tropical Storm,0
9228,AL022007,BARRY,2007-06-02 00:00:00,2007,TS,24.3N,85.2W,57.538999999999994,997,2007-06-01 18:00:00,2007-06-02 12:00:00,0 days 18:00:00.000000000,,,,,,Tropical Storm,0
9529,AL022008,BERTHA,2008-07-07 21:00:00,2008,HU,20.3N,51.9W,126.58579999999999,952,2008-07-03 12:00:00,2008-07-20 06:00:00,16 days 18:00:00.000000000,,,,,,Category Three,3
10635,AL022009,ANA,2009-08-12 12:00:00,2009,TS,14.4N,33.3W,40.2773,1005,2009-08-12 12:00:00,2009-08-16 06:00:00,3 days 18:00:00.000000000,,,,,,Tropical Storm,0
11351,AL022011,BRET,2011-07-18 18:00:00,2011,TS,27.8N,77.1W,69.04679999999999,995,2011-07-18 00:00:00,2011-07-21 18:00:00,3 days 18:00:00.000000000,,,,,,Tropical Storm,0
12041,AL022012,BERYL,2012-05-27 23:00:00,2012,TS,30.1N,80.5W,69.04679999999999,992,2012-05-27 18:00:00,2012-05-30 12:00:00,2 days 18:00:00.000000000,L,30.2,-81.4,63.292899999999996,"palm valley, us",Tropical Storm,0
12667,AL022013,BARRY,2013-06-19 18:00:00,2013,TS,19.6N,94.8W,46.0312,1005,2013-06-19 12:00:00,2013-06-20 12:00:00,1 days 00:00:00.000000000,L,19.6,-96.4,46.0312,"zempoala, mx",Tropical Storm,0
13090,AL022015,BILL,2015-06-16 12:00:00,2015,TS,28.0N,96.0W,57.538999999999994,997,2015-06-16 00:00:00,2015-06-17 00:00:00,1 days 00:00:00.000000000,L,28.2,-96.7,57.538999999999994,"rockport, us",Tropical Storm,0
13340,AL022016,BONNIE,2016-05-28 18:00:00,2016,TS,30.7N,79.1W,46.0312,1008,2016-05-28 12:00:00,2016-06-04 06:00:00,6 days 18:00:00.000000000,,,,,,Tropical Storm,0
13853,AL022017,BRET,2017-06-20 02:00:00,2017,TS,10.1N,61.1W,51.78509999999999,1008,2017-06-19 18:00:00,2017-06-20 09:00:00,0 days 15:00:00.000000000,L,10.1,-61.1,51.78509999999999,"rio claro, tt",Tropical Storm,0
17,AL031982,BERYL,1982-08-31 06:00:00,1982,TS,17.2N,36.4W,69.04679999999999,992,1982-08-28 18:00:00,1982-09-02 12:00:00,4 days 18:00:00.000000000,,,,,,Tropical Storm,0
75,AL031983,ALICIA,1983-08-18 06:00:00,1983,HU,28.9N,95.0W,115.07799999999999,963,1983-08-15 18:00:00,1983-08-19 00:00:00,3 days 06:00:00.000000000,L,29.1,-95.1,115.07799999999999,"santa fe, us",Category Three,3
370,AL031985,CLAUDETTE,1985-08-15 12:00:00,1985,HU,35.8N,40.0W,86.3085,980,1985-08-11 00:00:00,1985-08-16 18:00:00,5 days 18:00:00.000000000,,,,,,Category One,1
865,AL031988,CHRIS,1988-08-28 12:00:00,1988,TS,30.8N,80.8W,51.78509999999999,1005,1988-08-28 06:00:00,1988-08-28 18:00:00,0 days 12:00:00.000000000,L,32.0,-80.9,46.0312,"wilmington island, us",Tropical Storm,0
